,z,dA (Mpc),Theta (deg),Phi (deg),Area (sr),radius (rad)
72,6.838051185309446,1117.329960237501,558.413834484476,411.6087531041573,2.5164423438249956e-10,8.949907686959714e-06
73,7.905199444300419,1023.5947796108422,95.73901562881595,412.6819488119649,2.998428851533454e-10,9.769491012646502e-06
74,0.5818548376199018,1356.2565394009757,281.5263422599039,857.1846897356999,1.691606391047511e-11,2.3204633972594917e-06
75,12.884254524783644,734.4152172932451,512.6468699534067,640.4122203655218,5.824605804997532e-10,1.361627559523606e-05
76,11.68093677901445,788.1974917394346,466.9070916864959,795.9608350743733,5.056846556423511e-10,1.2687175618805242e-05
77,3.881016805800226,1478.7367019277112,84.53720672842356,447.72694883743594,1.4367068700762973e-10,6.762529114861217e-06
78,2.3757751313432562,1706.39328481456,333.62141983350637,644.1345558522478,1.0789258685855718e-10,5.860313732473893e-06
79,13.986634605984129,691.2728147167912,315.30725015576763,184.28519117177075,6.574321173760963e-10,1.4466068659299032e-05
80,9.078750307815831,936.7431358399117,40.00532712959627,912.3845730907244,3.580212741995845e-10,1.067528505670202e-05
81,10.278210335114784,861.8657671874537,35.11615023206402,452.58110979593664,4.229320626551501e-10,1.1602734881364681e-05
82,13.385410247153324,714.1439679663991,387.6697660498851,520.0186007952097,6.159966185549266e-10,1.400277877929301e-05
83,14.733727500172634,664.8432504280228,114.76718152141346,259.94774636777936,7.107409598951493e-10,1.5041139386708146e-05
84,2.5811150154434515,1678.1670510377958,322.5681145727048,208.3782320664483,1.115525475481526e-10,5.958882337617043e-06
85,9.032956322697729,939.8589489650302,387.2973636498067,579.7079496224742,3.556513903088894e-10,1.0639894434172244e-05
86,6.825203773134509,1118.5580942836077,397.3595746615863,943.3083230986863,2.510919462372182e-10,8.940081030305901e-06
87,8.401806922817457,984.9851769972687,528.6500044825998,729.4174973205792,3.23810168745077e-10,1.0152437045281271e-05
88,4.778638688693048,1351.0671199133924,99.63840767687175,626.290764613143,1.721060046437664e-10,7.401556778793515e-06
89,13.662685704926051,703.4082576640754,472.0567537369554,805.7537456881804,6.349433044501429e-10,1.4216495031219366e-05
90,19.88334458149627,526.7216530088657,306.09139670223743,811.3276734006137,1.132367844671368e-09,1.8985359616176026e-05
91,0.6427568618446222,1420.694946277722,101.85182567559012,114.54086726021822,1.8621499562599606e-11,2.4346267488760137e-06
92,7.760523732822406,1035.4035648863023,14.73846522136077,975.1556316478913,2.9304246635209854e-10,9.65806989576871e-06
93,19.592372655368578,532.9524211409137,353.4435515836139,349.1654916745055,1.1060455014009939e-09,1.8763401015408803e-05
94,19.793910890200518,528.620879810598,232.28971704566447,788.7267533524526,1.1242457289287818e-09,1.891714909858072e-05
95,19.113980736806116,543.5300492099466,140.02631628744166,528.8768283894196,1.063414932363546e-09,1.8398246821009434e-05
96,16.638671756189908,605.9064635105863,418.7525898428134,1104.2476177866897,8.557338310685173e-10,1.650419759852138e-05
97,1.0159732397632881,1664.9939706222904,333.40910424907014,146.2663515087172,3.773534779479713e-11,3.465766042546385e-06
98,8.843153518789668,952.9946987463379,225.77879643394456,59.4667483209672,3.459146083511665e-10,1.0493237804108432e-05
99,5.7395060897176275,1232.2180292908715,380.8710559290289,633.525801729401,2.0690679564375117e-10,8.115446911416233e-06
